fetch_date,fetch_time_jst,target_date,coord_label,lat,lon,daily_wh_max_m,daily_wp_max_s,am_wh_m,noon_wh_m,pm_wh_m,eve_wh_m,,
2026/4/16,8:28,2026/4/16,site_proxy,34.7,139.3,2.4,8.8,1.81,1.77,1.93,2.21,,
2026/4/16,8:28,2026/4/17,site_proxy,34.7,139.3,2.48,10.6,2.34,2.06,2.03,2.12,,
2026/4/16,8:28,2026/4/18,site_proxy,34.7,139.3,2.22,11.8,2.21,2.13,2.08,2.08,,
2026/4/16,8:28,2026/4/19,site_proxy,34.7,139.3,2.06,11.3,1.99,1.97,2.02,2.04,,
2026/4/16,8:28,2026/4/20,site_proxy,34.7,139.3,2.02,10.9,1.92,1.83,1.71,1.61,,
2026/4/16,8:28,2026/4/21,site_proxy,34.7,139.3,1.66,9.9,1.48,1.55,1.65,1.64,,
2026/4/16,8:28,2026/4/22,site_proxy,34.7,139.3,1.4,8.1,1.09,0.99,0.91,0.87,,
2026/4/16,8:28,2026/4/16,nearshore,35.3,139.4,1.14,10.9,1.04,1.1,1.13,1.1,,
2026/4/16,8:28,2026/4/17,nearshore,35.3,139.4,1.22,13.7,0.98,1.01,1.08,1.15,,
2026/4/16,8:28,2026/4/18,nearshore,35.3,139.4,1.42,14.1,1.35,1.39,1.41,1.42,,
2026/4/16,8:28,2026/4/19,nearshore,35.3,139.4,1.42,12.9,1.38,1.36,1.34,1.34,,
2026/4/16,8:28,2026/4/20,nearshore,35.3,139.4,1.36,12.1,1.24,1.12,1.02,0.95,,
2026/4/16,8:28,2026/4/21,nearshore,35.3,139.4,1.04,9.6,0.81,0.92,1.04,0.94,,
2026/4/16,8:28,2026/4/22,nearshore,35.3,139.4,0.7,8.2,0.47,0.4,0.39,0.42,,
